N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,65100.0,300.0,-0.46%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,564000.0,3000.0,-0.53%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,88700.0,1100.0,-1.22%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,797000.0,22000.0,+2.84%,2500.0,30013.0,165821.0,9836.0
5.0,LG화학,731000.0,5000.0,+0.69%,5000.0,518649.0,679738.0,29957.0
6.0,삼성SDI,684000.0,0.0,0.00%,5000.0,201241.0,302575.0,18080.0
7.0,삼성전자우,54600.0,700.0,-1.27%,100.0,,,
8.0,현대차,199200.0,1800.0,-0.90%,5000.0,1425275.0,2557425.0,98198.0
9.0,기아,85900.0,600.0,-0.69%,5000.0,865590.0,737110.0,72331.0
10.0,NAVER,196100.0,3500.0,+1.82%,100.0,82201.0,338990.0,13047.0
11.0,POSCO홀딩스,379000.0,1000.0,-0.26%,5000.0,847502.0,984068.0,48501.0
12.0,포스코퓨처엠,338500.0,6500.0,-1.88%,500.0,33019.0,46375.0,1659.0
13.0,카카오,57200.0,1100.0,-1.89%,100.0,71068.0,229635.0,5803.0
14.0,셀트리온,163000.0,4000.0,+2.52%,1000.0,22840.0,58917.0,6472.0
15.0,현대모비스,218000.0,3000.0,-1.36%,5000.0,519063.0,554067.0,20265.0
16.0,삼성물산,109900.0,200.0,+0.18%,100.0,431617.0,589815.0,25285.0
17.0,KB금융,48700.0,400.0,+0.83%,5000.0,888959.0,7011708.0,56389.0
18.0,LG전자,109200.0,100.0,-0.09%,5000.0,834673.0,551561.0,35510.0
19.0,신한지주,35050.0,200.0,+0.57%,5000.0,354133.0,6758843.0,58881.0
20.0,SK이노베이션,179000.0,3200.0,+1.82%,5000.0,780569.0,672189.0,39173.0
21.0,LG,89100.0,500.0,+0.56%,5000.0,71860.0,296337.0,19414.0
22.0,삼성생명,66800.0,400.0,-0.60%,500.0,403310.0,3161659.0,13866.0
23.0,하나금융지주,41600.0,50.0,+0.12%,5000.0,708438.0,5688732.0,46903.0
